Company,Location HQ,Industry,# Laid Off,%,Date,Source,$ Raised (mm),Stage,Date Added,Country,List of Employees Laid Off
Fluke,"Sao Paulo,Non-U.S.",Other,83,0.8200000000000001,2022-08-17T00:00:00.000Z,https://startups.com.br/noticias/exclusivo-fluke-demite-mais-de-80-e-e-comprada/,,Seed,2022-08-26T20:47:27.000Z,Brazil,
Swyftx,"Brisbane,Non-U.S.",Crypto,74,0.21,2022-08-17T00:00:00.000Z,https://swyftx.com/au/media/press-releases/changes-to-the-team-2022/,,Unknown,2022-08-18T01:12:20.000Z,Australia,
Tempo Automation,SF Bay Area,Other,54,,2022-08-17T00:00:00.000Z,https://www.bizjournals.com/sanfrancisco/news/2022/08/17/tempo-automation-sf-layoffs-merger-spac.html,74,Series C,2022-08-17T20:56:34.000Z,United States,
Genesis,New York City,Crypto,52,0.2,2022-08-17T00:00:00.000Z,https://www.reuters.com/technology/crypto-broker-genesis-taps-insider-interim-chief-cuts-jobs-by-20-2022-08-17/,,Series A,2022-08-17T18:24:32.000Z,United States,
Warren,"Porto Alegre,Non-U.S.",Finance,50,,2022-08-17T00:00:00.000Z,"https://www.terra.com.br/economia/dinheiro-em-dia/meu-negocio/exclusivo-warren-entra-na-tendencia-dos-layoffs-e-faz-demissao-em-massa,5f362a0a19e6049dce7d13b912b0da76rfn0l7ku.html",104,Series C,2022-08-18T01:14:15.000Z,Brazil,
AlayaCare,Montreal,Healthcare,80,0.14,2022-08-16T00:00:00.000Z,https://betakit.com/alayacare-lays-off-14-percent-of-employees-slows-ma-plans/,293,Series D,2022-08-17T18:25:43.000Z,Canada,
Pliops,"Tel Aviv,Non-U.S.",Data,12,0.09,2022-08-16T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/hkch00dya5,205,Series D,2022-08-18T21:47:39.000Z,Israel,
Woven,Indianapolis,HR,5,0.15,2022-08-16T00:00:00.000Z,Internal memo,11,Series A,2022-08-17T20:14:18.000Z,United States,
Crypto.com,"Singapore,Non-U.S.",Crypto,,,2022-08-16T00:00:00.000Z,https://decrypt.co/107509/second-layoff-round-at-crypto-com-worse-than-june-cuts-sources,156,Unknown,2022-08-16T19:47:06.000Z,Singapore,
Edmodo,SF Bay Area,Education,,1,2022-08-16T00:00:00.000Z,https://www.edsurge.com/news/2022-08-16-popular-k-12-tool-edmodo-shuts-down,77,Acquired,2022-08-16T23:13:02.000Z,United States,
Snapdocs,SF Bay Area,Real Estate,,0.1,2022-08-16T00:00:00.000Z,Internal memo,253,Series D,2022-11-05T03:51:52.000Z,United States,
Updater,New York City,Other,,,2022-08-16T00:00:00.000Z,https://updater.com/updater-life/changes-to-team-2022,467,Unknown,2022-08-17T18:28:38.000Z,United States,
Sema4,Stamford,Healthcare,250,0.13,2022-08-15T00:00:00.000Z,https://ir.sema4.com/news-releases/news-release-details/sema4-announces-continued-restructuring-business-highlights-and,791,Post-IPO,2022-08-16T03:50:08.000Z,United States,
Blend,SF Bay Area,Finance,220,0.12,2022-08-15T00:00:00.000Z,https://www.housingwire.com/articles/blend-takes-a-478m-loss-cuts-25-of-its-workforce/,665,Post-IPO,2022-08-16T15:55:02.000Z,United States,
